entity,code,year_value,other_portion,alcohol_portion,sugar_portion,dairy_eggs_portion,fruit_vegetables_portion,starchy_roots_portion,pulses_portion,cereals_grains_portion,oils_fats_portion,meat_portion,total_kilocalories,share_obese_adults
Maldives,MDV,1993,0.015320910973084885,0.011594202898550725,0.19710144927536233,0.028985507246376812,0.04182194616977226,0.032712215320910974,0.015320910973084885,0.38881987577639754,0.11469979296066253,0.1536231884057971,2415,1.7
Maldives,MDV,1994,0.014711729622266401,0.007952286282306162,0.19363817097415506,0.030218687872763418,0.05168986083499006,0.031013916500994037,0.007157057654075547,0.39721669980119284,0.10377733598409543,0.16262425447316103,2515,1.8
Maldives,MDV,1995,0.01321767864518794,0.008674101610904586,0.1821561338289963,0.042131350681536554,0.047501032631144156,0.033870301528294094,0.007021891780256092,0.41759603469640644,0.10987195373812474,0.13795952085914912,2421,1.9
Maldives,MDV,1996,0.012794056954189021,0.010730499380932727,0.1663227404044573,0.041683862979777137,0.051588939331407346,0.03384234420140322,0.005777961205117622,0.4362360709863805,0.10978126289723483,0.1312422616591003,2423,2.1
Maldives,MDV,1997,0.01792413505627345,0.007919966652771988,0.15256356815339725,0.055856606919549814,0.049187161317215504,0.0283451438099208,0.005835764902042517,0.42851187994997914,0.11171321383909963,0.1421425593997499,2399,2.2
Maldives,MDV,1998,0.01729818780889621,0.008649093904448105,0.13509060955518945,0.05354200988467875,0.048599670510708404,0.026771004942339374,0.00700164744645799,0.4233937397034596,0.11902800658978584,0.16062602965403625,2428,2.3
Maldives,MDV,1999,0.017310789049919485,0.007648953301127214,0.12318840579710146,0.049516908212560384,0.04186795491143317,0.026167471819645734,0.007648953301127214,0.4355877616747182,0.11634460547504026,0.1747181964573269,2484,2.4
Maldives,MDV,2000,0.0188911704312115,0.008213552361396304,0.12895277207392197,0.05379876796714579,0.04969199178644764,0.02299794661190965,0.007392197125256674,0.4197125256673511,0.124435318275154,0.16591375770020533,2435,2.6
Maldives,MDV,2001,0.019797979797979797,0.006868686868686869,0.13494949494949496,0.06424242424242424,0.044848484848484846,0.023434343434343436,0.007676767676767677,0.4068686868686869,0.12202020202020201,0.1692929292929293,2475,2.7
Maldives,MDV,2002,0.0196,0.0068,0.1352,0.06,0.0464,0.0216,0.0072,0.4088,0.1196,0.1748,2500,2.9
Maldives,MDV,2003,0.0212588578574406,0.007503126302626094,0.13588995414756147,0.06669445602334306,0.05043768236765319,0.022926219258024176,0.008753647353063776,0.4210087536473531,0.1288036681950813,0.13672363484785327,2399,3.1
Maldives,MDV,2004,0.022950819672131147,0.006557377049180328,0.144672131147541,0.06926229508196721,0.06557377049180328,0.02459016393442623,0.009426229508196722,0.3950819672131147,0.1307377049180328,0.13114754098360656,2440,3.3
Maldives,MDV,2005,0.023180154534363562,0.004880032533550223,0.1447742984953233,0.07523383489223262,0.057340382269215125,0.017486783245221633,0.013826758845058967,0.3904026026840179,0.10695404636030907,0.1659211061407076,2459,3.5
Maldives,MDV,2006,0.028056951423785594,0.007537688442211055,0.14363484087102177,0.08584589614740369,0.06993299832495813,0.020938023450586266,0.010050251256281407,0.39824120603015073,0.11264656616415411,0.12311557788944724,2388,3.8
Maldives,MDV,2007,0.03247794707297514,0.00801924619085806,0.13913392141138733,0.08259823576583801,0.0673616680032077,0.019246190858059342,0.011627906976744186,0.38532477947072974,0.1070569366479551,0.1471531676022454,2494,4.1
Maldives,MDV,2008,0.03288958496476116,0.007830853563038372,0.14056382145653876,0.09044635865309318,0.06891151135473766,0.01840250587314017,0.01096319498825372,0.38332028191072826,0.10610806577916992,0.14056382145653876,2554,4.4
Maldives,MDV,2009,0.028823981552651805,0.007686395080707148,0.13412759415833975,0.08493466564181398,0.05841660261337433,0.016910069177555727,0.009992313604919293,0.3996925441967717,0.1037663335895465,0.15564950038431977,2602,4.7
Maldives,MDV,2010,0.029433406916850625,0.007358351729212656,0.13134657836644592,0.08020603384841796,0.052980132450331126,0.01692420897718911,0.009933774834437087,0.38631346578366443,0.10448859455481972,0.18101545253863136,2718,5.1
